time	V(vin)	V(vo1)	V(vo2)
2.512748070967231e-03	-4.000644e-02	-4.456369e-01	1.697662e-02
2.513116582697253e-03	-4.116033e-02	-4.532417e-01	2.264297e-02
2.513631883008795e-03	-4.277348e-02	-4.617174e-01	2.858893e-02
2.514111767402982e-03	-4.427536e-02	-4.682657e-01	3.266585e-02
2.514665703628329e-03	-4.600849e-02	-4.747731e-01	3.612818e-02
2.515210172364294e-03	-4.771146e-02	-4.805635e-01	3.878139e-02
2.515919586553772e-03	-4.992950e-02	-4.876134e-01	4.164732e-02
2.517694520809482e-03	-5.547453e-02	-5.041631e-01	4.780692e-02
2.523736198916995e-03	-7.429334e-02	-5.558853e-01	6.725547e-02
2.538384636416994e-03	-1.194232e-01	-6.687827e-01	1.130748e-01
2.549545350702708e-03	-1.535351e-01	-7.475730e-01	1.474555e-01
2.560706064988422e-03	-1.865037e-01	-8.228482e-01	1.806917e-01
2.571866779274136e-03	-2.183291e-01	-8.946084e-01	2.127835e-01
2.583027493559851e-03	-2.490113e-01	-9.628537e-01	2.437310e-01
2.594188207845565e-03	-2.785503e-01	-1.027584e+00	2.735340e-01
2.605348922131279e-03	-3.069460e-01	-1.088799e+00	3.021926e-01
2.616509636416993e-03	-3.341985e-01	-1.146499e+00	3.297068e-01
2.634645797131278e-03	-3.751821e-01	-1.233570e+00	3.711989e-01
2.652781957845564e-03	-4.103797e-01	-1.308319e+00	4.069347e-01
2.670918118559849e-03	-4.397913e-01	-1.370745e+00	4.369143e-01
2.689054279274134e-03	-4.634170e-01	-1.420849e+00	4.611377e-01
2.707190439988419e-03	-4.812567e-01	-1.458631e+00	4.796049e-01
2.725326600702705e-03	-4.933105e-01	-1.484090e+00	4.923159e-01
2.743462761416990e-03	-4.995783e-01	-1.497227e+00	4.992706e-01
2.762296466774132e-03	-4.978649e-01	-1.494149e+00	4.982797e-01
2.781130172131275e-03	-4.897375e-01	-1.477471e+00	4.908521e-01
2.799963877488417e-03	-4.751960e-01	-1.447192e+00	4.769878e-01
2.818797582845560e-03	-4.542404e-01	-1.403312e+00	4.566869e-01
2.837631288202702e-03	-4.268708e-01	-1.345832e+00	4.299493e-01
2.856464993559845e-03	-3.930870e-01	-1.274751e+00	3.967750e-01
2.875298698916987e-03	-3.528892e-01	-1.190070e+00	3.571640e-01
2.886459413202701e-03	-3.268414e-01	-1.135192e+00	3.314237e-01
2.897620127488415e-03	-2.995407e-01	-1.076868e+00	3.044228e-01
2.908780841774129e-03	-2.709871e-01	-1.015099e+00	2.761612e-01
2.919941556059844e-03	-2.411807e-01	-9.498844e-01	2.466389e-01
2.931102270345558e-03	-2.101214e-01	-8.812242e-01	2.158561e-01
2.942262984631272e-03	-1.778092e-01	-8.091183e-01	1.838125e-01
2.953423698916986e-03	-1.442441e-01	-7.335669e-01	1.505083e-01
2.968072136416985e-03	-9.963292e-02	-6.281141e-01	1.063494e-01
2.977837761416985e-03	-6.939994e-02	-5.519283e-01	7.659180e-02
2.982720573916985e-03	-5.417833e-02	-5.108457e-01	6.175180e-02
2.987603386416985e-03	-3.890574e-02	-4.662285e-01	4.711082e-02
2.992486198916985e-03	-2.359653e-02	-4.147882e-01	3.307646e-02
2.997369011416985e-03	-8.265118e-03	-3.520005e-01	2.047767e-02
2.999850631701089e-03	-4.692543e-04	-3.098437e-01	1.584052e-02
3.001712143324627e-03	5.378753e-03	-2.656494e-01	1.465155e-02
3.003546882236731e-03	1.114194e-02	-2.057015e-01	1.620826e-02
3.005007546642994e-03	1.572908e-02	-1.405194e-01	1.963519e-02
3.006692125996494e-03	2.101774e-02	-4.171239e-02	2.535065e-02
3.008300887383548e-03	2.606619e-02	7.549252e-02	3.139062e-02
3.010063983512198e-03	3.159587e-02	2.221006e-01	3.775828e-02
3.010709351306078e-03	3.361904e-02	2.756251e-01	3.941289e-02
3.011312210579676e-03	3.550844e-02	3.192896e-01	3.999271e-02
3.011631771857672e-03	3.650977e-02	3.371043e-01	3.991980e-02
3.011929762461860e-03	3.744337e-02	3.488814e-01	3.977335e-02
3.012272628027263e-03	3.851740e-02	3.583782e-01	3.981211e-02
3.012640870004839e-03	3.967072e-02	3.654403e-01	4.016975e-02
3.012948734280368e-03	4.063478e-02	3.696501e-01	4.071125e-02
3.013211732083085e-03	4.145823e-02	3.724044e-01	4.132337e-02
3.013531220368399e-03	4.245839e-02	3.751974e-01	4.217532e-02
3.013868085772555e-03	4.351277e-02	3.777959e-01	4.314192e-02
3.014306753643825e-03	4.488549e-02	3.808886e-01	4.445624e-02
3.015470722445794e-03	4.852621e-02	3.884459e-01	4.804247e-02
3.020430484713851e-03	6.400813e-02	4.168966e-01	6.344660e-02
