time	V(vin)	V(vo1)	V(vo2)
1.505832000488311e-03	1.465414e-01	5.313658e-01	1.431318e-01
1.506037864724009e-03	1.517117e-01	5.383707e-01	1.481858e-01
1.506578690912531e-03	1.652935e-01	5.562317e-01	1.616759e-01
1.507985150487460e-03	2.006045e-01	6.007214e-01	1.968604e-01
1.509860429920699e-03	2.476611e-01	6.573882e-01	2.437993e-01
1.513610988787178e-03	3.416646e-01	7.665094e-01	3.376552e-01
1.517009771940269e-03	4.266888e-01	8.620934e-01	4.225880e-01
1.521892584440269e-03	5.484871e-01	9.955393e-01	5.442808e-01
1.531658209440269e-03	7.904210e-01	1.254589e+00	7.861215e-01
1.542121379083126e-03	1.048919e+00	1.524656e+00	1.044575e+00
1.552584548725982e-03	1.300262e+00	1.786199e+00	1.295896e+00
1.563047718368839e-03	1.544450e+00	2.039219e+00	1.540084e+00
1.573510888011696e-03	1.781483e+00	2.283715e+00	1.777138e+00
1.583974057654553e-03	2.011360e+00	2.519688e+00	2.007060e+00
1.594437227297410e-03	2.234083e+00	2.747137e+00	2.229849e+00
1.604900396940267e-03	2.449650e+00	2.966063e+00	2.445504e+00
1.621641468368838e-03	2.774541e+00	3.296437e+00	2.770576e+00
1.638382539797409e-03	3.062040e+00	3.588724e+00	3.058291e+00
1.655123611225980e-03	3.312146e+00	3.842922e+00	3.308648e+00
1.671864682654551e-03	3.524860e+00	4.059033e+00	3.521648e+00
1.688605754083122e-03	3.700180e+00	4.237055e+00	3.697291e+00
1.705346825511694e-03	3.838108e+00	4.376990e+00	3.835576e+00
1.722087896940265e-03	3.938643e+00	4.478837e+00	3.936504e+00
1.743014236225978e-03	3.991138e+00	4.532687e+00	3.989533e+00
1.763940575511692e-03	3.978596e+00	4.520599e+00	3.977523e+00
1.784866914797406e-03	3.901016e+00	4.442573e+00	3.900476e+00
1.805793254083120e-03	3.758398e+00	4.298608e+00	3.758390e+00
1.826719593368834e-03	3.550743e+00	4.088705e+00	3.551267e+00
1.847645932654548e-03	3.278050e+00	3.812863e+00	3.279105e+00
1.868572271940262e-03	2.940320e+00	3.471083e+00	2.941905e+00
